Title,Author,URL
,,
Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,http://www.gutenberg.org/cache/epub/42/pg42.txt
The Kama Sutra of Vatsyayana,Vatsyayana,http://www.gutenberg.org/cache/epub/27827/pg27827.txt
The Legends Of King Arthur And His Knights,James Knowles,http://www.gutenberg.org/cache/epub/12753/pg12753.txt
Robin Hood,J. Walker McSpadden,http://www.gutenberg.org/cache/epub/832/pg832.txt
Dracula,Bram Stoker,http://www.gutenberg.org/cache/epub/345/pg345.txt
Heart of Darkness,Joseph Conrad,http://www.gutenberg.org/cache/epub/219/pg219.txt
The Scarlet Letter,Nathaniel Hawthorne,http://www.gutenberg.org/cache/epub/33/pg33.txt
20000 Leagues Under the Seas,Jules Verne,http://www.gutenberg.org/cache/epub/2488/pg2488.txt
The Picture of Dorian Gray,Oscar Wilde,http://www.gutenberg.org/cache/epub/174/pg174.txt
"Hamlet, Prince of Denmark",William Shakespeare,http://www.gutenberg.org/cache/epub/1524/pg1524.txt
The Tragedie of Macbeth,William Shakespeare,http://www.gutenberg.org/cache/epub/2264/pg2264.txt
A Princess of Mars,Edgar Rice Burroughs,http://www.gutenberg.org/cache/epub/62/pg62.txt
Pride and Prejudice,Jane Austen,http://www.gutenberg.org/cache/epub/1342/pg1342.txt
Alice's Adventures in Wonderland,Lewis Carroll,http://www.gutenberg.org/cache/epub/11/pg11.txt
A Tale of Two Cities,Charles Dickens,http://www.gutenberg.org/cache/epub/98/pg98.txt
Frankenstein or The Modern Prometheus,Mary Wollstonecraft Shelley,http://www.gutenberg.org/cache/epub/84/pg84.txt
Great Expectations,Charles Dickens,http://www.gutenberg.org/cache/epub/1400/pg1400.txt
Emma,Jane Austen,http://www.gutenberg.org/cache/epub/158/pg158.txt
Ulysses,James Joyce,http://www.gutenberg.org/cache/epub/4300/pg4300.txt
The King James Bible,,http://www.gutenberg.org/cache/epub/10/pg10.txt